#ligand_atm protein_res protein_atm #don-acc acc-don H-same hyd pos neg aro S Metal
C X O 1 0 0 0 0 0 0 0 0
C X N 1 0 0 0 0 0 0 0 0
O X C 0 1 0 0 0 0 0 0 0
N X C 0 1 0 0 0 0 0 0 0
F X C 0 1 0 0 0 0 0 0 0
O X S 0 1 0 0 0 0 0 0 0
N X S 0 1 0 0 0 0 0 0 0
F X S 0 1 0 0 0 0 0 0 0
C X C 0 0 0 1 0 0 0 0 0
O X O 0 0 1 0 0 0 0 0 0
N X N 0 0 1 0 0 0 0 0 0
O X N 1 0 0 0 0 0 0 0 0
N X O 0 1 0 0 0 0 0 0 0
S X S 0 0 0 0 0 0 0 1 0
X X ZN 0 0 0 0 0 0 0 0 4
X X MG 0 0 0 0 0 0 0 0 4
X X MN 0 0 0 0 0 0 0 0 4
X X CA 0 0 0 0 0 0 0 0 4
X K NZ 0 0 0 0 1 0 0 0 0
X R NH2 0 0 0 0 1 0 0 0 0
X H NE2 0 0 0 0 1 0 0 0 0
X D OD2 0 0 0 0 0 1 0 0 0
X E OE2 0 0 0 0 0 1 0 0 0
X F CB 0 0 0 0 0 0 1 0 0
X F CG 0 0 0 0 0 0 1 0 0
X F CD1 0 0 0 0 0 0 1 0 0
X F CD2 0 0 0 0 0 0 1 0 0
X F CE1 0 0 0 0 0 0 1 0 0
X F CE2 0 0 0 0 0 0 1 0 0
X F CZ 0 0 0 0 0 0 1 0 0
X Y CB 0 0 0 0 0 0 1 0 0
X Y CG 0 0 0 0 0 0 1 0 0
X Y CD1 0 0 0 0 0 0 1 0 0
X Y CD2 0 0 0 0 0 0 1 0 0
X Y CE1 0 0 0 0 0 0 1 0 0
X Y CE2 0 0 0 0 0 0 1 0 0
X Y CZ 0 0 0 0 0 0 1 0 0
X W CD2 0 0 0 0 0 0 1 0 0
X W CE2 0 0 0 0 0 0 1 0 0
X W CE3 0 0 0 0 0 0 1 0 0
X W CZ3 0 0 0 0 0 0 1 0 0
X W CH2 0 0 0 0 0 0 1 0 0
X W CZ2 0 0 0 0 0 0 1 0 0
