&
B ALA_CB 17.6678 23.0149
1.55 2.57949 0 7.51831e-05
1.65 2.57949 0 0.000218837
1.75 2.57949 0 0.000620955
1.85 2.57949 0 0.00138539
1.95 2.57949 0 0.00293419
2.05 2.57949 0 0.00523718
2.15 2.57949 0 0.00887118
2.25 2.57949 0 0.0138487
2.35 2.57949 0 0.0208095
2.45 2.57949 0 0.027747
2.55 2.57949 0 0.0377795
2.65 2.57949 0 0.0518813
2.75 2.57949 0 0.0679757
2.9 2.57949 0 0.200328
3.1 2.57949 0 0.321706
3.3 2.57949 0 0.502544
3.5 0.389261 0.5 0.767922
3.7 -1.11017 4.33333 1.13257
3.95 0 1.92157 2.71776
4.25 -0.259655 5.58824 4.23094
4.55 0 3.33333 5.5105
4.85 0 1.99136 7.39148
&
B ARG_CB 4.70882 6.59221
1.55 0.251907 0 2.86706e-05
1.65 0.251907 0 6.98178e-05
1.75 0.251907 0 0.000184997
1.85 0.251907 0 0.000403956
1.95 0.251907 0 0.000847582
2.05 0.251907 0 0.00150723
2.15 0.251907 0 0.00254813
2.25 0.251907 0 0.00397385
2.35 0.251907 0 0.00596764
2.45 0.251907 0 0.00795478
2.55 0.251907 0 0.0108284
2.65 0.251907 0 0.0148676
2.75 0.251907 0 0.0194776
2.9 0.251907 0 0.0573874
3.1 0.251907 0 0.0921541
3.3 0.251907 0 0.143952
3.5 0.251907 0 0.219965
3.7 0.251907 0 0.324413
3.95 0.251907 0 0.778461
4.25 0.211873 0.0294118 1.21188
4.55 0 1.52941 1.57839
4.85 -0.103129 3.15 2.11716
&
B ARG_CD 1.89706 9.17379
1.55 0.572133 0 3.59821e-05
1.65 0.572133 0 9.3243e-05
1.75 0.572133 0 0.000253528
1.85 0.572133 0 0.000558233
1.95 0.572133 0 0.00117559
2.05 0.572133 0 0.00209356
2.15 0.572133 0 0.00354209
2.25 0.572133 0 0.00552614
2.35 0.572133 0 0.00830072
2.45 0.572133 0 0.011066
2.55 0.572133 0 0.015065
2.65 0.572133 0 0.020686
2.75 0.572133 0 0.0271013
2.9 0.572133 0 0.079857
3.1 0.572133 0 0.128239
3.3 0.572133 0 0.200321
3.5 0.572133 0 0.306102
3.7 0.286206 0.0294118 0.451452
3.95 0.156375 0.529412 1.08331
4.25 0.269021 0.5 1.68647
4.55 0.421379 0.0294118 2.1965
4.85 0.22051 0.808824 2.94626
&
B ARG_CG 3.59706 7.99563
1.55 0.412875 0 3.26453e-05
1.65 0.412875 0 8.25524e-05
1.75 0.412875 0 0.000222252
1.85 0.412875 0 0.000487826
1.95 0.412875 0 0.0010259
2.05 0.412875 0 0.00182598
2.15 0.412875 0 0.00308847
2.25 0.412875 0 0.00481772
2.35 0.412875 0 0.00723597
2.45 0.412875 0 0.00964616
2.55 0.412875 0 0.0131315
2.65 0.412875 0 0.0180306
2.75 0.412875 0 0.023622
2.9 0.412875 0 0.0696025
3.1 0.412875 0 0.111771
3.3 0.412875 0 0.174596
3.5 0.412875 0 0.266791
3.7 0.412875 0 0.393475
3.95 0.0956158 0.279412 0.944186
4.25 0.153198 0.5 1.46988
4.55 0 1.47941 1.91441
4.85 0.0502449 1.33824 2.56789
&
B ARG_CZ 8.68529 14.4415
1.55 1.38925 0 5.09014e-05
1.65 1.38925 0 0.000141042
1.75 1.38925 0 0.000393365
1.85 1.38925 0 0.000873036
1.95 1.38925 0 0.00184488
2.05 1.38925 0 0.00328998
2.15 1.38925 0 0.00557026
2.25 1.38925 0 0.00869358
2.35 1.38925 0 0.0130614
2.45 1.38925 0 0.0174146
2.55 1.38925 0 0.0237098
2.65 1.38925 0 0.0325584
2.75 1.38925 0 0.0426575
2.9 1.38925 0 0.125706
3.1 1.38925 0 0.20187
3.3 1.38925 0 0.315342
3.5 1.38925 0 0.481864
3.7 0.699043 0.0294118 0.710677
3.95 0.876147 0.3 1.70536
4.25 0 4.27157 2.65485
4.55 0.342796 2.12108 3.45776
4.85 0 1.96324 4.63805
&
B ARG_NE 1.42647 12.3997
1.55 1.06693 0 4.51185e-05
1.65 1.06693 0 0.000122515
1.75 1.06693 0 0.000339162
1.85 1.06693 0 0.000751015
1.95 1.06693 0 0.00158546
2.05 1.06693 0 0.00282623
2.15 1.06693 0 0.00478411
2.25 1.06693 0 0.00746584
2.35 1.06693 0 0.0112161
2.45 1.06693 0 0.0149538
2.55 1.06693 0 0.020359
2.65 1.06693 0 0.0279565
2.75 1.06693 0 0.0366277
2.9 1.06693 0 0.107935
3.1 1.06693 0 0.173329
3.3 1.06693 0 0.270759
3.5 1.06693 0 0.413736
3.7 0.913838 0.0294118 0.610198
3.95 0.071583 0.529412 1.46424
4.25 0.309795 0.779412 2.2795
4.55 0.838817 0.0294118 2.96888
4.85 0.791793 0.0588235 3.98229
&
B ARG_NH 21.2328 28.1126
1.55 3.14489 0 8.96209e-05
1.65 3.14489 0 0.000265094
1.75 3.14489 0 0.000756278
1.85 3.14489 0 0.00169003
1.95 3.14489 0 0.00358188
2.05 3.14489 0 0.00639497
2.15 3.14489 0 0.0108339
2.25 3.14489 0 0.0169139
2.35 3.14489 0 0.0254165
2.45 3.14489 0 0.0338907
2.55 3.14489 0 0.0461452
2.65 3.14489 0 0.0633705
2.75 3.14489 0 0.0830298
2.9 3.14489 0 0.244697
3.1 1.04259 0.05 0.39296
3.3 0.7368 0.279412 0.613853
3.5 0.793733 0.35 0.938011
3.7 0 6.05098 1.38343
3.95 0 5.21765 3.31973
4.25 -0.156506 6.99657 5.16807
4.55 0.45859 1.66324 6.73104
4.85 1.4124 0.625 9.02865
&
B ASN_CB 2.46324 8.42955
1.55 0.469362 0 3.38743e-05
1.65 0.469362 0 8.64898e-05
1.75 0.469362 0 0.000233771
1.85 0.469362 0 0.000513757
1.95 0.469362 0 0.00108103
2.05 0.469362 0 0.00192453
2.15 0.469362 0 0.00325554
2.25 0.469362 0 0.00507863
2.35 0.469362 0 0.00762812
2.45 0.469362 0 0.0101691
2.55 0.469362 0 0.0138436
2.65 0.469362 0 0.0190086
2.75 0.469362 0 0.0249035
2.9 0.469362 0 0.0733793
3.1 0.469362 0 0.117836
3.3 0.469362 0 0.18407
3.5 0.469362 0 0.281269
3.7 0.469362 0 0.414828
3.95 0.469362 0 0.995426
4.25 0.443675 0.0294118 1.54965
4.55 0 1.55882 2.01831
4.85 0.292397 0.875 2.70724
&
B ASN_CG 3.81324 11.9432
1.55 0.994571 0 4.38258e-05
1.65 0.994571 0 0.000118373
1.75 0.994571 0 0.000327045
1.85 0.994571 0 0.000723737
1.95 0.994571 0 0.00152746
2.05 0.994571 0 0.00272256
2.15 0.994571 0 0.00460837
