&
B C.23_C 58.6425 167.799
1.55 8.46066 0 0.000485243
1.65 8.46066 0 0.00153261
1.75 8.46066 0 0.00446441
1.85 8.46066 0 0.0100378
1.95 8.46066 0 0.0213299
2.05 8.46066 0 0.0381208
2.15 8.46066 0 0.0646159
2.25 8.46066 0 0.100907
2.35 8.46066 0 0.151657
2.45 8.46066 0 0.202238
2.55 8.46066 0 0.275383
2.65 8.46066 0 0.378198
2.75 8.46066 0 0.495541
2.9 8.46066 0 1.4605
3.1 8.46066 0 2.34546
3.3 0.0560834 1 3.66393
3.5 8.46066 0 5.59878
3.7 0.674269 0.5 8.25741
3.95 0.164755 3.98039 19.8148
4.25 0.0183965 10.2069 30.8473
4.55 0.159036 14.771 40.1764
4.85 0 28.1842 53.8904
&
B C.23_de 27.3034 33.1491
1.55 3.62233 0 0.000103885
1.65 3.62233 0 0.000310795
1.75 3.62233 0 0.000889978
1.85 3.62233 0 0.00199102
1.95 3.62233 0 0.0042218
2.05 3.62233 0 0.00753888
2.15 3.62233 0 0.0127731
2.25 3.62233 0 0.0199424
2.35 3.62233 0 0.0299682
2.45 3.62233 0 0.0399606
2.55 3.62233 0 0.0544106
2.65 3.62233 0 0.0747219
2.75 3.62233 0 0.0979033
2.9 3.62233 0 0.288534
3.1 3.62233 0 0.46336
3.3 3.62233 0 0.723826
3.5 3.62233 0 1.10606
3.7 1.78042 0.237745 1.63128
3.95 0 9.98529 3.91448
4.25 2.02784 0.213235 6.09396
4.55 0.0664406 7.41275 7.93695
4.85 0 9.45441 10.6462
&
B C.23_nq 20.3721 20.5326
1.55 2.26758 0 6.81526e-05
1.65 2.26758 0 0.000196312
1.75 2.26758 0 0.000555058
1.85 2.26758 0 0.00123704
1.95 2.26758 0 0.00261879
2.05 2.26758 0 0.00467338
2.15 2.26758 0 0.00791543
2.25 2.26758 0 0.0123561
2.35 2.26758 0 0.0185661
2.45 2.26758 0 0.0247554
2.55 2.26758 0 0.0337057
2.65 2.26758 0 0.0462865
2.75 2.26758 0 0.0606451
2.9 2.26758 0 0.178722
3.1 2.26758 0 0.287008
3.3 2.26758 0 0.448341
3.5 2.26758 0 0.685097
3.7 0.00928489 1 1.01042
3.95 0 3.55882 2.42463
4.25 0 4.50441 3.7746
4.55 0 6.27941 4.91615
4.85 0.239181 5.02941 6.59424
&
B C.23_r 8.68529 14.4414
1.55 1.38922 0 5.0901e-05
1.65 1.38922 0 0.000141041
1.75 1.38922 0 0.000393361
1.85 1.38922 0 0.000873028
1.95 1.38922 0 0.00184487
2.05 1.38922 0 0.00328994
2.15 1.38922 0 0.0055702
2.25 1.38922 0 0.0086935
2.35 1.38922 0 0.0130612
2.45 1.38922 0 0.0174144
2.55 1.38922 0 0.0237095
2.65 1.38922 0 0.0325581
2.75 1.38922 0 0.0426571
2.9 1.38922 0 0.125705
3.1 1.38922 0 0.201868
3.3 1.38922 0 0.315339
3.5 1.38922 0 0.481859
3.7 0.747668 0.0294118 0.71067
3.95 0.870026 0.3 1.70534
4.25 0 4.27157 2.65483
4.55 0.342787 2.12108 3.45773
4.85 0 1.96324 4.638
&
B C.31 176.959 195.628
1.55 8.92091 0 0.00056406
1.65 8.92091 0 0.00178513
1.75 8.92091 0 0.00520315
1.85 8.92091 0 0.0117009
1.95 8.92091 0 0.0248658
2.05 8.92091 0 0.0444413
2.15 8.92091 0 0.0753305
2.25 8.92091 0 0.11764
2.35 8.92091 0 0.176807
2.45 8.92091 0 0.235776
2.55 8.92091 0 0.321053
2.65 8.92091 0 0.440919
2.75 8.92091 0 0.577722
2.9 1.91775 0.25 1.70272
3.1 0.346483 0.666667 2.73444
3.3 0 1.91667 4.27158
3.5 0 5.30882 6.52731
3.7 -0.182869 11.5588 9.62686
3.95 0 21.9055 23.101
4.25 -0.0928632 39.4632 35.9631
4.55 -0.0793733 50.7093 46.8395
4.85 0 45.1801 62.8279
&
B C.32 119.37 251.541
1.55 9.675 0 0.000722416
1.65 9.675 0 0.00229248
1.75 9.675 0 0.0066874
1.85 9.675 0 0.0150423
1.95 9.675 0 0.0319698
2.05 9.675 0 0.0571402
2.15 9.675 0 0.0968579
2.25 9.675 0 0.15126
2.35 9.675 0 0.227337
2.45 9.675 0 0.303161
2.55 9.675 0 0.41281
2.65 9.675 0 0.566935
2.75 9.675 0 0.742839
2.9 1.96238 0.30754 2.18937
3.1 0.612154 1.33333 3.51597
3.3 1.03356 0.333333 5.49243
3.5 0.414773 0.966667 8.39288
3.7 0.229712 2.17157 12.3783
3.95 0 12.4265 29.7035
4.25 0 23.8858 46.2418
4.55 0.00612669 35.8219 60.2267
4.85 0.0974804 42.123 80.7847
&
B C.32_g_CA 17.137 32.1588
1.55 3.53388 0 0.00010108
1.65 3.53388 0 0.000301809
1.75 3.53388 0 0.000863688
1.85 3.53388 0 0.00193183
1.95 3.53388 0 0.00409597
2.05 3.53388 0 0.00731394
2.15 3.53388 0 0.0123917
2.25 3.53388 0 0.0193468
2.35 3.53388 0 0.0290731
2.45 3.53388 0 0.038767
2.55 3.53388 0 0.0527853
2.65 3.53388 0 0.0724898
2.75 3.53388 0 0.0949786
2.9 3.53388 0 0.279914
3.1 -0.384564 0.666667 0.449516
3.3 -0.627304 1.33333 0.702201
3.5 0 1 1.07302
3.7 0 1 1.58254
3.95 0.691023 0.362745 3.79753
4.25 0.137137 1.99216 5.91189
4.55 0 5.14622 7.69982
4.85 0 5.6359 10.3281
&
B C.33 34.9053 48.6367
1.55 4.75397 0 0.000147749
1.65 4.75397 0 0.000451329
1.75 4.75397 0 0.00130111
1.85 4.75397 0 0.00291657
1.95 4.75397 0 0.00618959
2.05 4.75397 0 0.0110564
2.15 4.75397 0 0.018736
2.25 4.75397 0 0.0292549
2.35 4.75397 0 0.0439649
2.45 4.75397 0 0.0586258
2.55 4.75397 0 0.079827
2.65 4.75397 0 0.109628
2.75 4.75397 0 0.14364
2.9 0 0.047619 0.423335
3.1 4.75397 0 0.67984
3.3 4.75397 0 1.062
3.5 4.75397 0 1.62281
3.7 4.75397 0 2.39342
3.95 0.319201 2.27941 5.74334
4.25 0.0399672 8.58775 8.94109
4.55 -0.0348269 13.0838 11.6451
4.85 0 10.9067 15.6202
&
B C.33_CA 57.1379 154.754
1.55 8.21792 0 0.000448296
1.65 8.21792 0 0.00141424
1.75 8.21792 0 0.0041181
1.85 8.21792 0 0.00925821
1.95 8.21792 0 0.0196724
2.05 8.21792 0 0.0351579
2.15 8.21792 0 0.0595932
2.25 8.21792 0 0.0930624
2.35 8.21792 0 0.139867
2.45 8.21792 0 0.186516
2.55 8.21792 0 0.253975
2.65 8.21792 0 0.348796
2.75 8.21792 0 0.457016
2.9 8.21792 0 1.34696
3.1 8.21792 0 2.16312
3.3 0.235301 0.333333 3.37908
3.5 0.889651 1.125 5.16351
3.7 0.804917 0.779412 7.61545
3.95 0 9.78506 18.2743
4.25 0.118372 11.6725 28.4491
4.55 0 18.5615 37.0529
4.85 0.355095 14.8811 49.7007
&
B C.ar2 89.3954 218.848
1.55 9.25736 0 0.000629824
1.65 9.25736 0 0.00199583
1.75 9.25736 0 0.00581955
1.85 9.25736 0 0.0130885
1.95 9.25736 0 0.027816
2.05 9.25736 0 0.049715
2.15 9.25736 0 0.0842707
2.25 9.25736 0 0.131602
2.35 9.25736 0 0.197792
2.45 9.25736 0 0.263761
